year,kode urusan,urusan,skpd/ukpd,prorgram,kegiatan,dpa
2013,1.08,LINGKUNGAN HIDUP,Sudin Pemakaman - JAKPUS,Program peningkatan sarana dan prasarana Lingkungan Hidup,Pemeliharaan Sarana dan Prasarana TPU Petamburan,"135,000,000"
2013,1.02,KESEHATAN,BLUD Puskesmas Kec. Menteng - JAKPUS,Program pencegahan dan penanggulangan penyakit menular,Penatalaksanaan Imunisasi,"86,087,000"
2013,1.17,KEBUDAYAAN,Balai Latihan Kesenian Jakut,8. Program peningkatan sarana prasarana Kebudayaan,Pengadaan Alat Musik Arumba,"35,000,000"
2013,1.13,SOSIAL,Panti Sosial Asuhan Putra Utama 2,Penerapan prinsip kaidah good govermance dalam penyelenggaraan urusan sosial,Penyediaan Alat Tulis Kantor,"30,000,000"
2013,1.20,"OTONOMI DAERAH, PEMERINTA",BIRO PEREKONOMIAN,Program koordinasi kebijakan perekonomian,Koordinasi Penyelenggaraan Pekan Produk Kreatif Daerah (PPKD) di Provinsi DKI Jakarta Tahun 2013,"80,000,000"
2013,1.20,"OTONOMI DAERAH, PEMERINTA",BLUD Ambulan Gawat Darurat (AGD),Peningkatan peran pusat pengendalian bencana (kesehatan),"Gladi posko lapang penanggulangan KLB, musibah masal bidang kesehatan","52,137,000"
2013,1.19,KESATUAN BANGSA DAN POLIT,Kantor Kesatuan Bangsa Dan Politik - JAKSEL,Program pencegahan dan penanggulangan konflik,Pemahaman tentang Upaya Pencegahan Tawuran Warga dan Massa di Kota Administrasi Jakarta Selatan,"200,000,000"
2013,1.15,KOPERASI DAN USAHA KECIL ,UPT Balai Pendidikan Dan Pelatihan KUMKM dan Perdagangan,Program pembinaan dan pengembangan lembaga Koperasi dan UKM,Diklat Peningkatan Pembekalan Bagi Pengelola Bidang Manajer KJK PEMK,"335,000,000"
2013,1.15,KOPERASI DAN USAHA KECIL ,Unit Pengelola Lokasi Binaan Usaha Mikro dan Kecil,Program peningkatan sarana prasarana Koperasi dan UKM,Rehab Lokbin Makasar,"6,000,000,000"
2013,1.17,KEBUDAYAAN,Monumen Nasional (Monas),4. Program pengelolaan kekayaan budaya,Partisipasi Monas dalam kegiatan Budaya,"130,000,000"
2013,1.10,KEPENDUDUKAN DAN CATATAN ,Sudin Kependudukan Dan Pencatatan Sipil - JAKSEL,Program pengawasan dan penegakan peraturan kependudukan,"Sosialisasi Peraturan Kependudukan dan Pencatatan Sipil kepada masyarakat

","150,000,000"
2013,1.02,KESEHATAN,BLUD Puskesmas Kec. Johar Baru - JAKPUS,Program penerapan kaidah good governance dalam penyelenggaraan urusan Kesehatan,"Penyediaan jasa telekomunikasi, sumber daya air dan Listrik

","329,037,840"
2013,1.03,PEKERJAAN UMUM,DINAS PERUMAHAN DAN GEDUNG PEMDA,Program pembangunan dan penataan bangunan gedung Pemda,Lanjutan Pembangunan Gedung PKP (STIKES),"20,000,000,000"
2013,1.19,KESATUAN BANGSA DAN POLIT,Kantor Kesatuan Bangsa Dan Politik - JAKPUS,Program penerapan prinsip good governance dalam penyelenggaraan urusan Kesatuan Bangsa Dan Politik Dalam Negeri,Penyediaan Jasa Internet,"12,000,000"
2013,1.21,KETAHANAN PANGAN,DINAS KELAUTAN DAN PERTANIAN,Program pemberdayaan masyarakat dalam ketahanan pangan,Pendampingan Penerbitan Sertifikat PIRT,"70,000,000"
2013,2.05,"PERIKANAN, KELAUTAN DAN P",Sudin Peternakan dan Perikanan - JAKBAR,Program pencegahan dan penanggulangan penyakit ternak,"Pelayanan Pemeriksaan dan Pengawasan Pemotongan Hewan Qurban

","150,000,000"
2013,1.21,KETAHANAN PANGAN,Sudin Pertanian dan Kehutanan - JAKUT,Program penerapan kaidah good governance dalam penyelenggaraan urusan Ketahanan Pangan,"Penyediaan ATK, Barang Cetakan Umum dan Peralatan Kantor","100,000,000"
2013,1.01,PENDIDIKAN,P3PNFI,Program peningkatan sarana dan prasarana Pendidikan,"Rehab sedang ruang serba guna, ruang kelas, ruang praktek, ruang bengkel dan kamar mandi","450,000,000"
2013,1.08,LINGKUNGAN HIDUP,Sudin Pertamanan - JAKPUS,Program peningkatan peran serta masyarakat dalam pengelolaan Lingkungan Hidup,Pembinaan Taman Percontohan Sekolah Dalam Rangka Green School Tingkat (SD/SMP/SMU) di Wilayah Jakarta Pusat,"100,000,000"
2013,1.15,KOPERASI DAN USAHA KECIL ,"DINAS KOPERASI,  UMKM, DAN PERDAGANGAN",Program pembinaan dan pengembangan lembaga Koperasi dan UKM,Revitalisasi kelembagaan koperasi bagi Koperasi Masyarakat,"150,000,000"
2013,1.02,KESEHATAN,BLUD RS Duren Sawit,Program peningkatan sarana dan prasarana Kesehatan,pengadaan bahan pakai habis RSUD Duren Sawit,"132,270,000"
2013,1.18,PEMUDA DAN OLAHRAGA,DINAS OLAH RAGA Dan PEMUDA,Program Pembinaan dan Pemasyarakatan Olahraga,Kejuaraan Olahraga Organisasi Wanita,"200,000,000"
2013,1.07,PERHUBUNGAN,Sudin Perhubungan - JAKBAR,Program pembangunan fasilitas perhubungan,Pembangunan Guard Rail di Kecamatan Cengkareng,"100,000,000"
2013,2.06,PERDAGANGAN,UPT Balai Tekstil,"Program sinkronisasi kebijakan pembiayaan, kelembagaan dan regulasi Perdagangan dan Perindustrian",Penyediaan Operasional Kantor,"50,000,000"
2013,1.08,LINGKUNGAN HIDUP,"Pusat Pengembangan Benih Tanaman Pangan, Hortikultura Dan Kehutanan",Program peningkatan sarana dan prasarana Lingkungan Hidup,Peningkatan Sarana dan Prasarana Kebun Bibit Cibubur,"1,500,000,000"
2013,1.15,KOPERASI DAN USAHA KECIL ,"Sudin Koperasi, Usaha Mikro, Kecil dan Menengah, dan Perdagangan - JAKPUS",Program pembinaan kewirausahaan dan keunggulan UKM,Penyuluhan Perkoperasian bagi Kelompok Masyarakat (Maj'lis Taklim),"50,000,000"
2013,1.05,PENATAAN RUANG,DINAS TATA RUANG DAN PERTANAHAN,"Program Sinkronisasi Kebijakan Pembiayaan, Kelembagaan dan Regulasi Penataan Ruang",Pendataan Ruang Kota 3D,"2,000,000,000"
2013,1.11,PEMBERDAYAAN PEREMPUAN DA,"BADAN PEMBERDAYAAN MASYARAKAT, PEREMPUAN DAN KB",Program Pemberdayaan Perempuan dalam ekonomi keluarga dan masyarakat,Pameran Citra Karya,"80,000,000"
2013,1.02,KESEHATAN,BLUD RS Pasar Rebo,Program penerapan kaidah good governance dalam penyelenggaraan urusan Kesehatan,Pengadaan jasa keamanan,"2,542,850,000"
2013,2.04,PARIWISATA,Sudin Pariwisata - JAKSEL,5. Program pengembangan kemitraan pariwisata,Penyelenggaraan Atraksi Wisata Alam di Hutan Kali Pesanggrahan,"150,000,000"
2013,1.18,PEMUDA DAN OLAHRAGA,Gelanggang Remaja Jakarta Barat,Program Pembinaan dan Pemasyarakatan Olahraga,"Try Out Gulat 

","250,000,000"
2013,2.04,PARIWISATA,Sudin Pariwisata - JAKPUS,5. Program pengembangan kemitraan pariwisata,Peningkatan pemahaman kepariwisataan bagi Ibu PKK di RW Kumuh,"200,000,000"
2013,1.18,PEMUDA DAN OLAHRAGA,Gelanggang Remaja Jakarta Timur,Program Penerapan Prinsip Good Governance Dalam Penyelenggaraan Urusan Pemuda dan Olahraga,Pengadaan Alat Tulis Kantor,"48,784,000"
2013,1.17,KEBUDAYAAN,Balai Latihan Kesenian Jakpus,1. Program Penerapan Prinsip Good Governance Dalam Penyelenggaraan Urusan Kebudayaan,Pengadaan Barang Cetakan dan Penggandaan,"15,000,000"
2013,1.03,PEKERJAAN UMUM,Sudin PU Tata Air - JAKBAR,Pengerukan dan Pemeliharaan Sungai," Pengerukan dan perbaikan Sal Phb wilayah Jakarta Barat (Swakelola)

","15,000,000,000"
2013,2.06,PERDAGANGAN,Pusat Perkayuan,"Program sinkronisasi kebijakan pembiayaan, kelembagaan dan regulasi Perdagangan dan Perindustrian",Pemeliharaan Sarana dan Prasarana TPK Pondok Pinang,"100,000,000"
2013,1.07,PERHUBUNGAN,UPT Terminal dan Angkutan Jalan,Program peningkatan pengelolaan terminal bus antar kota,Peningkatan Emplasemen Terminal Bus Kampung Rambutan,"2,000,000,000"
2013,2.06,PERDAGANGAN,Sudin Perindustrian Dan Energi - JAKUT,Program peningkatan kualitas produk sentra industri,"Identifikasi Kompetensi Inti Industri Daerah di 6 Kecamatan Wilayah Jakarta Utara

","175,000,000"
2013,1.08,LINGKUNGAN HIDUP,Kantor Lingkungan Hidup - JAKUT,Program pengendalian pencemaran dan perusakan Lingkungan Hidup,Pengawasan Dokumen Lingkungan Tahap Konstruksi,"100,000,000"
2013,1.02,KESEHATAN,BLUD RS Duren Sawit,"Program sinkronisasi kebijakan pembiayaan, kelembagaan dan regulasi Kesehatan",Penyusunan Rencana Strategis RSKD Duren Sawit tahun 2013-2017,"49,000,000"
2013,1.02,KESEHATAN,BLUD AKPER Jayakarta,Program penerapan kaidah good governance dalam penyelenggaraan urusan Kesehatan,Pemeliharaan komputer,"35,000,000"
2013,1.18,PEMUDA DAN OLAHRAGA,DINAS OLAH RAGA Dan PEMUDA,Program Penerapan Prinsip Good Governance Dalam Penyelenggaraan Urusan Pemuda dan Olahraga,Peningkatan kapasitas dan Pengembangan SDM Disorda dan jajarannya,"75,000,000"
2013,1.12,KELUARGA BERENCANA DAN KE,"BADAN PEMBERDAYAAN MASYARAKAT, PEREMPUAN DAN KB",Program Keluarga Berencana (KB),Pengadaan Motor Penyuluh KB,"2,618,316,000"
2013,1.21,KETAHANAN PANGAN,Sudin Pertanian dan Kehutanan - JAKUT,Program penerapan kaidah good governance dalam penyelenggaraan urusan Ketahanan Pangan,"Penyediaan Jasa Komunikasi, Air, Listrik dan Internet","15,000,000"
2013,1.14,KETENAGAKERJAAN,Sudin Tenaga Kerja Dan Transmigrasi - JAKPUS,Program peningkatan kesempatan kerja,Pembentukan Wira Usaha mandiri di bidang Sablon/Percetakan,"86,000,000"
2013,1.17,KEBUDAYAAN,Balai Latihan Kesenian Jakbar,1. Program Penerapan Prinsip Good Governance Dalam Penyelenggaraan Urusan Kebudayaan,Pengadaan Barang Cetakan dan Penggandaan,"20,000,000"
2013,1.13,SOSIAL,DINAS SOSIAL,"Program sinkronisasi kebijakan pembiayaan, kelembagaan dan regulasi sosial",Penyusunan rencana kerja tahun 2014,"100,000,000"
2013,1.20,"OTONOMI DAERAH, PEMERINTA",BIRO KEPALA DAERAH Dan KERJASAMA LUAR NEGERI,"Program penerapan prinsip good governance dan pelenggaraan urusan Otonomi Daerah, Pemerintahan Umum, Administrasi Keuangan Daerah, Perangkat Daerah, Kepegawaian dan Persandian",Pengelolaan dan Pemeliharaan Sistem Keuangan UKPD,"93,000,000"
2013,1.10,KEPENDUDUKAN DAN CATATAN ,Sudin Kependudukan Dan Pencatatan Sipil - JAKSEL,Program peningkatan mutu layanan Kependudukan dan Catatan Sipil,Biaya Penunjang Keterlambatan Akta Kelahiran yang lebih dari 1 Tahun bagi masyarakat miskin,"750,000,000"
2013,2.06,PERDAGANGAN,"DINAS KOPERASI,  UMKM, DAN PERDAGANGAN",Program perlindungan konsumen dan pengamanan perdagangan,Kampanye Konsumen Cerdas Di Pusat Belanja dan Pasar Tradisional,"300,000,000"
2013,1.03,PEKERJAAN UMUM,Sudin PU Jalan - JAKBAR,Peningkatan sarana dan prasarana Pekerjaan Umum,BBM dan Operasional Kendaraan Dinas Sudin PU Jalan Kota Administrasi Jakarta Barat,"600,000,000"
2013,1.01,PENDIDIKAN,Puslatdikjur Jakarta Selatan,Program penerapan kaidah good governance dalam penyelenggaraan urusan Pendidikan,Pengadaan Handy Talkie,"10,000,000"
2013,2.04,PARIWISATA,Sudin Pariwisata - JAKTIM,10. Program peningkatan sarana dan prasarana Pariwisata,Pengadaan Perlengkapan dan Peralatan Kantor,"75,000,000"
2013,1.03,PEKERJAAN UMUM,DINAS PERINDUSTRIAN Dan ENERGI,Program Penyediaan dan Pengelolaan Air Bersih,Pembangunan Bangunan IPA Sistem RO,"4,000,000,000"
2013,1.06,PERENCANAAN PEMBANGUNAN,Kantor Perencanaan Pembangunan - JAKSEL,Program perencanaan pembangunan tatapraja,Pelaksanaan Monitoring dan Evaluasi Pencapaian Kinerja Bidang Pemerintahan,"150,000,000"
2013,1.17,KEBUDAYAAN,Balai Latihan Kesenian Jaktim,3. Program pengelolaan keragaman budaya,Pelatihan Kesenian Tingkat Dasar Angkatan II Bagi Guru SD,"150,000,000"
2013,1.25,KOMUNIKASI DAN INFORMATIK,"Sudin Komunikasi, Informatika dan Kehumasan - JAKTIM","Program pengembangan komunikasi, informasi dan media masa",Silaturahmi Pejabat Pemko Jakarta Timur dengan Media Massa,"60,000,000"
2013,1.14,KETENAGAKERJAAN,Pusat Pelatihan Kerja Daerah Jakarta Utara,Program peningkatan kesempatan kerja,Temu konsultasi dengan Perusahaan,"100,000,000"
2013,1.03,PEKERJAAN UMUM,Sudin PU Tata Air - JAKBAR,Program Penerapan kaidah Good Governance dalam penyelenggaraan urusan Pekerjaan Umum,"Penyusunan Program dan Kegiatan Tahun 2014

","30,000,000"
2013,1.02,KESEHATAN,BLUD RS Budhi Asih,Program peningkatan sarana dan prasarana Kesehatan,Pengadaan Alat Laboratorium,"1,250,000,000"
2013,1.12,KELUARGA BERENCANA DAN KE,"Kantor Pemberdayaan Masyarakat, Perempuan dan Keluarga Berencana Kab. Adm - Kep. Seribu",Program pengembangan model operasional BKB (Bina Keluarga Balita)-Posyandu,Pembinaan Kader BKB Posyandu,"50,000,000"
2013,1.05,PENATAAN RUANG,Sudin Tata Ruang dan Pertanahan - JAKPUS,peningkatan sarana dan prasarana Penataan Ruang,pengadaan alat tulis kantor teknologi informasi kebutuhan operasional kantor,"150,000,000"
2013,1.07,PERHUBUNGAN,UPT Pusat Pengujian Kendaraan Bermotor,Program peningkatan pelayanan pengujian kendaraan bermotor dan sertifikasi perangkat telekomunikasi,Pengendalian Keamanan Kantor PKB Kedaung Angke,"180,000,000"
2013,1.01,PENDIDIKAN,Sudin Pendidikan Dasar - JAKSEL,"Program sinkronisasi kebijakan pembiayaan, kelembagaan dan regulasi Pendidikan",Pelaksanaan dan Bina Lomba Lomojari SMP Terbuka Tingkat Kota,"113,500,000"
2013,1.06,PERENCANAAN PEMBANGUNAN,Kantor Perencanaan Pembangunan - JAKTIM,Program pengelolaan data perencanaan pembangunan,Penyusunan Perencanaan Data Base Bidang Perekonomian Kanppeko Jakarta Timur,"50,000,000"
2013,1.11,PEMBERDAYAAN PEREMPUAN DA,Kantor Pemberdayaan Masyarakat dan Perempuan - JAKPUS,Program Pemberdayaan Perempuan dalam ekonomi keluarga dan masyarakat,Pemberdayaan Perempuan dalam Peningkatan Ekonomi Keluarga,"60,000,000"
2013,1.01,PENDIDIKAN,Puslatdikjur Jakarta Selatan,Program penerapan kaidah good governance dalam penyelenggaraan urusan Pendidikan,Pengembangan  Jaringan Internet,"199,000,000"
2013,1.20,"OTONOMI DAERAH, PEMERINTA",BIRO TATA PEMERINTAHAN,Program peningkatan kerjasama antar daerah,Fasilitasi Bantuan Hibah dan Bantuan Keuangan Tahun 2013,"200,000,000"
2013,1.26,PERPUSTAKAAN,BADAN PERPUSTAKAAN DAN ARSIP DAERAH,Program pemberdayaan komunitas perpustakaan dalam pengelolaan perpustakaan,Pemberdayaan Abang dan None Buku sebagai Duta Baca,"250,000,000"
2013,1.13,SOSIAL,Panti Sosial Tresna Werdha Budi Mulia 3,Program pelayanan dan rehabilitasi sosial,"Pembinaan Fisik , mental dan spiritual","41,400,000"
2013,2.05,"PERIKANAN, KELAUTAN DAN P",Unit Pengelola Kawasan Pelabuhan Perikanan Dan Pangkalan Pendaratan Ikan,"Program penerapan kaidah good governance dalam penyelenggaraan urusan Perikanan, Kelautan, dan Peternakan",Pembersihan dan Pengangkutan Sampah kawasan Pelabuhan Perikanan dan PHPT Muara Angke,"1,000,000,000"
2013,1.14,KETENAGAKERJAAN,Sudin Tenaga Kerja Dan Transmigrasi - JAKUT,Program peningkatan sarana prasarana ketenagakerjaan,Rehab Atap Gedung Aula,"127,600,000"
2013,1.17,KEBUDAYAAN,Sudin Kebudayaan - JAKSEL,3. Program pengelolaan keragaman budaya,Pergelaran Kesenian Panggung Hiburan Rakyat 1 Tk.Kota dan 10 Kecamatan,"800,000,000"
2013,2.05,"PERIKANAN, KELAUTAN DAN P",Balai Pengujian Mutu Dan Pengolahan Hasil Perikanan,"Program penerapan kaidah good governance dalam penyelenggaraan urusan Perikanan, Kelautan, dan Peternakan","BELANJA TELEPON, AIR, LISTRIK DAN INTERNET (TALI)","1,343,232,000"
2013,1.01,PENDIDIKAN,Sudin Pendidikan Dasar - JAKTIM,Program pendidikan luar biasa,"Workshop Penyusunan Program Kerja Pusat Sumber dan Sekolah Inklusif

","85,000,000"
2013,1.03,PEKERJAAN UMUM,DINAS KEBERSIHAN,"Program Penerapan sistem 3R (reduce, reuse, recycle) di tingkat RW (Dedicated)",Pelatihan Tenaga Fasilitator Lapangan,"400,000,000"
2013,2.06,PERDAGANGAN,UPT Balai Metrologi,Program peningkatan sarana dan prasarana Perdagangan,PENYELESAIAN REHAB TOTAL GEDUNG KANTOR BALAI METROLOGI,"6,000,000,000"
2013,1.09,PERTANAHAN,Sudin Tata Ruang dan Pertanahan  - JAKBAR,"Program pendataan Penguasaan, Pemilikan, Penggunaan dan Pemanfaatan Tanah (P4T)","Pendataan Penguasaan, Pemilikan, Penggunaan dan Pemanfaatan Tanah (P4T) untuk Penataan Ruang","600,000,000"
2013,1.11,PEMBERDAYAAN PEREMPUAN DA,Kantor Pemberdayaan Masyarakat dan Perempuan - JAKBAR,Program kebijakan tentang keserasian peningkatan kualitas anak dan perempuan,Sosialisasi bahaya KDRT bagi masyarakat dan ibu rumah tangga,"250,000,000"
2013,1.02,KESEHATAN,BLUD RS Budhi Asih,Program peningkatan sarana dan prasarana Kesehatan,Pembangunan Gedung Rumah Sakit,"40,000,000,000"
2013,1.01,PENDIDIKAN,Sudin Pendidikan Menengah   - JAKTIM,Program peningkatan mutu pendidikan,Bimbingan Teknis Penataan dan Pemerataan Kebutuhan Guru SMA/SMK,"163,550,000"
2013,1.01,PENDIDIKAN,Sudin Pendidikan Menengah   - JAKUT,Program wajib belajar 12 tahun,"Penyedian Biaya Operasional Pendidikan SMK Negeri Jakarta Utara

","51,043,200,000"
2013,1.13,SOSIAL,Panti Sosial Tresna Werdha Budi Mulia 1,Penerapan prinsip kaidah good govermance dalam penyelenggaraan urusan sosial,Pelaksanaan Pekerjaan tambahan diluar jam kerja,"76,560,000"
2013,1.01,PENDIDIKAN,Sudin Pendidikan Menengah   - JAKUT,"Program sinkronisasi kebijakan pembiayaan, kelembagaan dan regulasi Pendidikan","Pembinaan Guru Bidang Studi SMK

","100,000,000"
2013,1.14,KETENAGAKERJAAN,Pusat Pelatihan Kerja Khusus Pengembangan Las,Penerapan prinsip good governance dalam penyelenggaraan urusan Ketenagakerjaan,Penyediaan Jasa Tenaga Pengamanan Kantor,"331,800,000"
2013,1.20,"OTONOMI DAERAH, PEMERINTA",SEKRETARIAT DAERAH,"Program penerapan prinsip good governance dan pelenggaraan urusan Otonomi Daerah, Pemerintahan Umum, Administrasi Keuangan Daerah, Perangkat Daerah, Kepegawaian dan Persandian",Penatausahaan dan Pengelolaan Keuangan Daerah di lingkungan Setdaprov DKI Jakarta,"150,000,000"
2013,1.07,PERHUBUNGAN,Sudin Perhubungan - JAKSEL,"Program sinkronisasi kebijakan pembiayaan, kelembagaan dan regulasi Perhubungan",Pengadaan Bahan Cetakan Umum Sudin Perhubungan Jakarta Selatan,"75,000,000"
2013,1.02,KESEHATAN,BLUD Puskesmas Kec. Cempaka Putih - JAKPUS,Program penurunan angka kematian ibu dan bayi,"Penatalaksanaan kesehatan ibu, bayi baru lahir","6,460,000"
2013,1.25,KOMUNIKASI DAN INFORMATIK,"Sudin Komunikasi, Informatika dan Kehumasan - JAKTIM",Program optimalisasi pemanfaatan teknologi informasi,Dukungan Paparan Multimedia Pemko. Jakarta Timur,"50,000,000"
2013,1.21,KETAHANAN PANGAN,Balai Pengujian Mutu Hasil Tanaman Pangan Dan Hortikultura,Program penerapan kaidah good governance dalam penyelenggaraan urusan Ketahanan Pangan,Penyediaan jasa kebersihan dan jasa keamanan,"300,000,000"
2013,1.15,KOPERASI DAN USAHA KECIL ,UPT Dana Bergulir,Program penerapan prinsip good governance dalam penyelenggaraan urusan Koperasi dan UKM,Lanjutan Pengadaan Sarana dan Prasarana Kantor UPDB PEMK,"150,000,000"
2013,1.25,KOMUNIKASI DAN INFORMATIK,"Sudin Komunikasi, Informatika dan Kehumasan - JAKSEL",Program penerapan kaidah good governance dalam penyelenggaraan urusan Komunikasi Dan Informatika,"RAPAT / SEMINAR, KOORDINASI / KONSULTASI TEKNIS","125,000,000"
2013,1.07,PERHUBUNGAN,Sudin Perhubungan - JAKTIM,"Program sinkronisasi kebijakan pembiayaan, kelembagaan dan regulasi Perhubungan","Penyelengaraan senam kesegaran jasmani

","25,000,000"
2013,1.22,PEMBERDAYAAN MASYARAKAT D,"BADAN PEMBERDAYAAN MASYARAKAT, PEREMPUAN DAN KB",Program peningkatan keberdayaan masyarakat kelurahan,"Penilaian Posyantek Kecamatan 

","70,000,000"
2013,1.15,KOPERASI DAN USAHA KECIL ,UPT Dana Bergulir,Program penerapan prinsip good governance dalam penyelenggaraan urusan Koperasi dan UKM,Penanganan Penyelesaian Tunggakan Dana Bergulir,"100,000,000"
2013,1.12,KELUARGA BERENCANA DAN KE,UPT Pusdiklat KB dan Kesetaraan Gender,Program pengembangan model operasional BKB (Bina Keluarga Balita)-Posyandu,Pelatihan Pengembangan media bagi kelompok BKB,"60,642,500"
2013,1.01,PENDIDIKAN,DINAS PENDIDIKAN,Program pemberdayaan komunitas Pendidikan,Implementasi Kerjasama Kelembagaan,"120,000,000"
2013,1.17,KEBUDAYAAN,Museum Sejarah,4. Program pengelolaan kekayaan budaya,"Seminar Revitalisasi Museum menuju Museum  Provinsi DKI Jakarta ""Fatahillah""","200,000,000"
2013,1.19,KESATUAN BANGSA DAN POLIT,Kantor Kesatuan Bangsa Dan Politik - JAKTIM,Program pengembangan wawasan kebangsaan,Sarasehan Aktualisasi Nilai Pembauran Bagi Pelajar SMA,"200,000,000"
2013,1.08,LINGKUNGAN HIDUP,UPT Laboratorium Lingkungan Hidup Daerah,Program penerapan kaidah good governance dalam penyelenggaraan urusan Lingkungan Hidup,Dukungan Peningkatan Kinerja Laboratorium,"50,000,000"
2013,1.13,SOSIAL,Panti Sosial Tresna Werdha Budi Mulia 2,Program pelayanan dan rehabilitasi sosial,Pemeliharaan Kesehatan WBS,"140,650,000"
2013,2.05,"PERIKANAN, KELAUTAN DAN P",Pusat Budidaya Perikanan,"Program penerapan kaidah good governance dalam penyelenggaraan urusan Perikanan, Kelautan, dan Peternakan","Perawatan Kendaraan, Mesin Operasional dan BBM","300,000,000"
2013,1.17,KEBUDAYAAN,Sudin Kebudayaan - JAKBAR,1. Program Penerapan Prinsip Good Governance Dalam Penyelenggaraan Urusan Kebudayaan,Pengelolaan Sarana dan Prasarana Kantor Sudin Kebudayaan Jakarta Barat,"110,000,000"
2013,1.14,KETENAGAKERJAAN,Pusat Pelatihan Kerja Daerah Jakarta Pusat,Program peningkatan kualitas dan produktivitas tenaga kerja,Pelatihan Keterampilan Kejuruan Tehnisi Komputer,"438,386,800"
2013,1.14,KETENAGAKERJAAN,Pusat Pelatihan Kerja Daerah Jakarta Pusat,Program peningkatan kualitas dan produktivitas tenaga kerja,Pelatihan Keterampilan Kejuruan Operator Komputer,"438,386,800"
2013,1.03,PEKERJAAN UMUM,DINAS PEKERJAAN UMUM,Pengendali banjir,Penggantian Pompa-pompa Pengendali Banjir di Provinsi DKI Jakarta,"20,000,000,000"
2013,1.03,PEKERJAAN UMUM,Unit Pengolahan Limbah Septictank,Peningkatan sarana dan prasarana Pekerjaan Umum,Belanja Internet,"12,000,000"
2013,2.03,ENERGI DAN SUMBERDAYA MIN,Sudin Perindustrian Dan Energi - JAKPUS,Program Pemeliharaan dan Operasional Penerangan Jalan dan Sarana Umum Kota,Pemeliharaan/Perawatan Pencahayaan Kota Kec.Tanah Abang Periode Januari-Juni 2013,"320,000,000"
2013,1.01,PENDIDIKAN,Sudin Pendidikan Menengah   - JAKUT,Program pendidikan non formal dan informal,Pendidikan Kecakapan Hidup Masyarakat (PKH/PKW),"600,000,000"
2013,1.07,PERHUBUNGAN,UPT  Pengelola Angkutan  Perairan dan Kepelabuhan,Program peningkatan pelayanan angkutan umum,Docking Kapal KM Kerapu II UP. Angkutan Perairan dan Kepelabuhanan,"150,000,000"
2013,1.05,PENATAAN RUANG,Sudin Pengawasan dan Penertiban Bangunan Kab - Adm. Kep. Seribu,Penataan dan pengawasan bangunan,"Pengawasan (Patroli) terhadap bangunan di Kab. Adm Kepulauan Seribu

","300,000,000"
2013,1.20,"OTONOMI DAERAH, PEMERINTA",BIRO HUKUM,"Program penerapan prinsip good governance dan pelenggaraan urusan Otonomi Daerah, Pemerintahan Umum, Administrasi Keuangan Daerah, Perangkat Daerah, Kepegawaian dan Persandian",Penyediaan Perlengkapan Ketatausahaan dan Kantor,"100,000,000"
2013,1.02,KESEHATAN,Unit Penyelenggara Jaminan Pemeliharaan Kesehatan Daerah,Program peningkatan sarana dan prasarana Kesehatan,Belanja Alat - Alat Studio Kantor UP. Jamkesda,"10,000,000"
2013,1.08,LINGKUNGAN HIDUP,DINAS PERTAMANAN DAN PEMAKAMAN,"Program sinkronisasi kebijakan pembiayaan, kelembagaan dan regulasi Lingkungan Hidup",Pemantauan Kegiatan Dinas Pertamanan dan Pemakaman,"50,000,000"
2013,1.21,KETAHANAN PANGAN,Sudin Pertanian dan Kehutanan - JAKBAR,Program penerapan kaidah good governance dalam penyelenggaraan urusan Ketahanan Pangan,Pengadaan Sarana dan Prasarana BPP Kembangan,"80,000,000"
2013,1.05,PENATAAN RUANG,Sudin Tata Ruang dan Pertanahan  - JAKUT,peningkatan sarana dan prasarana Penataan Ruang,Pengadaan perkakas kerja,"100,000,000"
2013,1.12,KELUARGA BERENCANA DAN KE,Kantor Keluarga Berencana - JAKTIM,Program kesehatan reproduksi remaja,Orientasi PKBR ( Penyiapan Kehidupan Berkeluarga bagi Remaja) bagi Pendidik Sebaya (PS) dan Konselor Sebaya (KS),"70,000,000"
2013,1.08,LINGKUNGAN HIDUP,BADAN PENGELOLA LINGKUNGAN HIDUP DAERAH,Program Penelitian Antisipasi terhadap Dampak Perubahan Iklim di Jakarta (Dedicated),Pembangunan Aplikasi Inventory Gas Rumah Kaca,"500,000,000"
2013,1.13,SOSIAL,Panti Sosial Tresna Werdha Budi Mulia 3,Penerapan prinsip kaidah good govermance dalam penyelenggaraan urusan sosial,Pemeliharaan inventaris Kantor,"50,000,000"
2013,2.05,"PERIKANAN, KELAUTAN DAN P",Pusat Teknologi Produksi Dan Pengolahan Hasil Peternakan,"Program penerapan kaidah good governance dalam penyelenggaraan urusan Perikanan, Kelautan, dan Peternakan","Pembangunan Gudang dan Gedung Arsip, Garasi Kendaraan di UPT, PTP-PHP dan Gudang Penyimpanan Obat","125,000,000"
2013,1.05,PENATAAN RUANG,Sudin Pengawasan Dan Penertiban Bangunan - JAKPUS,peningkatan sarana dan prasarana Penataan Ruang,Pemeliharaan peralatan dan perlengkapan kantor,"10,000,000"
2013,1.10,KEPENDUDUKAN DAN CATATAN ,Sudin Kependudukan Dan Pencatatan Sipil - Kep.Seribu,Program peningkatan mutu layanan Kependudukan dan Catatan Sipil,Penyusunan Buku Informasi Pelayanan Registrasi Kependudukan dan Pencatatan Sipil,"50,000,000"
